objname,ra,dec,distance,distance_err
IC3259,185.952129,7.1866572,16.5,1.1
IC3267,186.0230505,7.0413257,16.5,1.1
IC3268,186.0309795,6.6080218,16.5,1.1
IC3305,186.310374,11.8495722,16.5,1.1
IC3313,186.4018035,15.8299449,16.5,1.1
IC3322,186.475479,7.554779,16.5,1.1
IC3322A,186.4272375,7.2171379,16.5,1.1
IC3331,186.5222265,11.812198,16.5,1.1
IC3344,186.634953,13.5787484,16.5,1.1
IC3349,186.696138,12.4540061,16.5,1.1
IC3356,186.7106145,11.5588948,16.5,1.1
IC3358,186.726498,11.6638358,16.5,1.1
IC3363,186.7629315,12.5606833,16.5,1.1
IC3369,186.820533,16.0245743,16.5,1.1
IC3371,186.8425845,10.8667153,16.5,1.1
IC3374,186.8890995,10.0034403,16.5,1.1
IC3388,187.1169195,12.8236629,16.5,1.1
IC3391,187.113807,18.4150771,16.5,1.1
IC3392,187.180263,14.9994368,16.5,1.1
IC3393,187.1738025,12.9158739,16.5,1.1
IC3412,187.3443585,9.9886048,16.5,1.1
IC3413,187.343769,11.4338512,16.5,1.1
IC3430,187.5701055,9.0852432,16.5,1.1
IC3436,187.6247145,19.6730558,16.5,1.1
IC3437,187.691277,11.3432042,16.5,1.1
IC3443,187.8155145,12.3317802,16.5,1.1
IC3446,187.845699,11.4925499,16.5,1.1
IC3448,187.8461175,17.2065179,16.5,1.1
IC3457,187.9639635,12.6568611,16.5,1.1
IC3465,188.050992,12.0615165,16.5,1.1
IC3466,188.023533,11.8178716,16.5,1.1
IC3473,188.0795775,18.2446996,16.5,1.1
IC3475,188.1701205,12.7710145,16.5,1.1
IC3478,188.1841845,14.1961776,16.5,1.1
IC3486,188.3083905,12.857787,16.5,1.1
IC3487,188.3060445,9.3972992,16.5,1.1
IC3490,188.3079405,10.9285516,16.5,1.1
IC3499,188.4370935,10.9953,16.5,1.1
IC3510,188.5617165,11.0715271,16.5,1.1
IC3517,188.6287545,9.1545147,16.5,1.1
IC3518,188.630391,9.6234219,16.5,1.1
IC3520,188.632542,13.5037147,16.5,1.1
IC3521,188.6646,7.1601572,16.5,1.1
IC3522,188.6905005,15.2206698,16.5,1.1
IC3530,188.7055815,17.8142596,16.5,1.1
IC3540,188.8634235,12.7502648,16.5,1.1
IC3562,189.044022,9.9225539,16.5,1.1
IC3576,189.1573725,6.6216645,16.5,1.1
IC3578,189.1642425,11.1018867,16.5,1.1
IC3605,189.587421,19.541437,16.5,1.1
IC3612,189.769527,14.7308572,16.5,1.1
IC3625B,189.9070995,10.9757487,16.5,1.1
IC3637,190.081473,14.7149508,16.5,1.1
IC3647,190.220637,10.4762157,16.5,1.1
IC3665,190.4446545,11.4883942,16.5,1.1
IC3720,191.1975,12.0647001,16.5,1.1
IC3727,191.2734975,10.9009106,16.5,1.1
IC3742,191.382897,13.332096,16.5,1.1
IC3773,191.813754,10.2035707,16.5,1.1
IC3806,192.230712,14.9079055,16.5,1.1
IC3881,193.702545,19.1774819,16.5,1.1
LV J1213+2957,183.4516667,29.95888889,16.5,3.289
NGC3810,175.244841,11.471119,16.5,1.1
NGC4032,180.136989,20.0740291,16.5,1.1
NGC4037,180.348663,13.401019,16.5,1.1
NGC4049,180.7268985,18.7523047,16.5,1.1
NGC4064,181.046763,18.4438225,16.5,1.1
NGC4116,181.903626,2.6920426,16.5,1.1
NGC4119,182.040018,10.3789045,16.5,1.1
NGC4123,182.046336,2.8783017,16.5,1.1
NGC4165,183.0491385,13.2464708,16.5,1.1
NGC4178,183.1928955,10.8657101,16.5,1.1
NGC4179,183.2170995,1.2997088,16.5,1.1
NGC4189,183.4470645,13.4249638,16.5,1.1
NGC4200,183.684246,12.1807335,16.5,1.1
NGC4206,183.820107,13.0239151,16.5,1.1
NGC4207,183.8770185,9.5849306,16.5,1.1
NGC4222,184.0944585,13.3072833,16.5,1.1
NGC4239,184.3122735,16.5313241,16.5,1.1
NGC4252,184.6287225,5.5594785,16.5,1.1
NGC4254,184.7067315,14.4167921,16.5,1.1
NGC4266,184.9261545,5.5383582,16.5,1.1
NGC4282,185.101221,5.5728559,16.5,1.1
NGC4293,185.303964,18.3829994,16.5,1.1
NGC4294,185.324265,11.5106195,16.5,1.1
NGC4299,185.418999,11.5028445,16.5,1.1
NGC4302,185.4264735,14.5984387,16.5,1.1
NGC4303A,185.6134035,4.5662732,16.5,1.1
NGC4305,185.5150125,12.7409267,16.5,1.1
NGC4309,185.551584,7.1443039,16.5,1.1
NGC4316,185.6759565,9.3325949,16.5,1.1
NGC4322,185.7571815,15.9055302,16.5,1.1
NGC4328,185.8334415,15.8204181,16.5,1.1
NGC4330,185.82114,11.3678395,16.5,1.1
NGC4336,185.8742625,19.4268878,16.5,1.1
NGC4341,185.97291,7.1071601,16.5,1.1
NGC4343,185.911263,6.9540753,16.5,1.1
NGC4344,185.906208,17.5409457,16.5,1.1
NGC4353,186.0011055,7.7851738,16.5,1.1
NGC4356,186.060915,8.53638,16.5,1.1
NGC4366,186.195765,7.3530155,16.5,1.1
NGC4370,186.2288475,7.4447009,16.5,1.1
NGC4376,186.3253065,5.7411417,16.5,1.1
NGC4383,186.3561885,16.4699742,16.5,1.1
NGC4388,186.4448235,12.6620998,16.5,1.1
NGC4390,186.461103,10.459049,16.5,1.1
NGC4394,186.4818195,18.214115,16.5,1.1
NGC4411,186.6244125,8.872245,16.5,1.1
NGC4411B,186.6966705,8.8845899,16.5,1.1
NGC4416,186.694584,7.9188501,16.5,1.1
NGC4423,186.787635,5.8806639,16.5,1.1
NGC4430,186.859668,6.2629711,16.5,1.1
NGC4431,186.8640945,12.2903239,16.5,1.1
NGC4436,186.9219315,12.3159687,16.5,1.1
NGC4438,186.9397875,13.0092546,16.5,1.3
NGC4440,186.9731925,12.2932616,16.5,1.1
NGC4445,187.0664325,9.436304,16.5,1.1
NGC4451,187.16892,9.2589166,16.5,1.1
NGC4457,187.245915,3.5705985,16.5,1.1
NGC4466,187.3773195,7.6964192,16.5,1.1
NGC4467,187.376091,7.9928797,16.5,1.1
NGC4468,187.3787205,14.0490901,16.5,1.1
NGC4491,187.738002,11.4834452,16.5,1.1
NGC4492,187.7488785,8.0778443,16.5,1.1
NGC4498,187.9147605,16.8527934,16.5,1.1
NGC4502,188.013627,16.6876973,16.5,1.1
NGC4503,188.025891,11.1764134,16.5,0.8
NGC4506,188.043786,13.4196232,16.5,1.1
NGC4516,188.2814025,14.574935,16.5,1.1
NGC4519,188.376054,8.6547153,16.5,1.1
NGC4519A,188.3529825,8.6908034,16.5,1.1
NGC4523,188.4504705,15.1684445,16.5,1.1
NGC4539,188.644746,18.2026639,16.5,1.1
NGC4544,188.902527,3.0345639,16.5,1.1
NGC4561,189.0339225,19.3226707,16.5,1.1
NGC4567,189.136434,11.2579573,16.5,1.1
NGC4568,189.1428405,11.2389012,16.5,1.1
NGC4571,189.234897,14.2173507,16.5,1.1
NGC4584,189.574476,13.1099008,16.5,1.1
NGC4586,189.618414,4.319094,16.5,1.1
NGC4587,189.6476205,2.6573112,16.5,1.1
NGC4592,189.828048,-0.5318914,16.5,1.1
NGC4595,189.966162,15.297731,16.5,1.1
NGC4624,191.2747005,3.0555045,16.5,1.1
NGC4629,190.636164,-1.3505518,16.5,1.1
NGC4630,190.629699,3.9597647,16.5,1.1
NGC4633,190.655604,14.357236,16.5,1.1
NGC4635,190.6634775,19.9454655,16.5,1.1
NGC4636,190.706964,2.6887035,16.5,1.1
NGC4640,190.7407455,12.2869079,16.5,1.1
NGC4641,190.781982,12.0510808,16.5,1.1
NGC4643,190.833783,1.9784809,16.5,1.1
NGC4647,190.8856995,11.5821254,16.5,1.1
NGC4651,190.9277505,16.3935072,16.5,1.1
NGC4654,190.9858845,13.1265165,16.5,1.1
NGC4698,192.0956055,8.4874421,16.5,1.1
NGC4701,192.2982915,3.3887448,16.5,1.1
NGC4710,192.4115415,15.1649706,16.5,1.1
NGC4713,192.4909875,5.3113381,16.5,1.1
NGC4746,192.980109,12.0831626,16.5,1.1
NGC4758,193.1843325,15.8477655,16.5,1.1
NGC4771,193.338444,1.2691163,16.5,1.1
NGC4808,193.953987,4.3041769,16.5,1.1
NGC4809,193.712862,2.6538869,16.5,1.1
NGC4810,193.7133,2.6406,16.5,1.1
NGC4845,194.5049355,1.575912,16.5,1.1
NGC4880,195.043908,12.483504,16.5,1.1
NGC4900,195.163311,2.5010616,16.5,1.1
NGC5058,199.2178935,12.5483078,16.5,1.1
PGC036412,175.7935005,14.2236004,16.5,1.1
PGC036594,176.2261005,2.1631999,16.5,1.1
PGC036976,177.511353,15.0232816,16.5,1.1
PGC037048,177.7331715,14.5948849,16.5,1.1
PGC037162,178.007871,13.8787614,16.5,1.1
PGC037779,179.8908975,13.8874117,16.5,1.1
PGC037931,180.364629,14.0344432,16.5,1.1
PGC037954,180.43479,5.8214702,16.5,1.1
PGC038113,180.899907,16.0555003,16.5,1.1
PGC038299,181.3862505,14.4900496,16.5,1.1
PGC038551,182.132109,15.0959685,16.5,1.1
PGC038728,182.601438,13.1705864,16.5,1.1
PGC038747,182.648715,11.760811,16.5,1.1
PGC038771,182.704095,15.2524847,16.5,1.1
PGC038872,183.0181995,12.7411003,16.5,1.1
PGC038883,183.046035,12.8933053,16.5,1.1
PGC038893,183.0790815,15.4831032,16.5,1.1
PGC038970,183.2693385,15.8929011,16.5,1.1
PGC038993,183.32406,13.1594565,16.5,1.1
PGC039008,183.382842,10.3108263,16.5,1.1
PGC039012,183.3990255,13.0347053,16.5,1.1
PGC039031,183.450948,12.6905472,16.5,1.1
PGC039080,183.560136,13.5429062,16.5,1.1
PGC039104,183.6372165,12.1031965,16.5,1.1
PGC039108,183.6447285,11.8596142,16.5,1.1
PGC039109,183.6486765,9.1997391,16.5,1.1
PGC039112,183.653532,9.6898474,16.5,1.1
PGC039144,183.7441995,11.8641996,16.5,1.1
PGC039159,183.7662615,13.0319575,16.5,1.1
PGC039164,183.785634,14.9719181,16.5,1.1
PGC039250,183.9739365,14.0250028,16.5,1.1
PGC039260,184.0496145,8.3734387,16.5,1.1
PGC039264,184.001721,8.2022675,16.5,1.1
PGC039370,184.2427995,12.2634959,16.5,1.1
PGC039413,184.3635945,17.6505097,16.5,1.1
PGC039415,184.360623,13.7370731,16.5,1.1
PGC039420,184.3705845,8.5328202,16.5,1.1
PGC039467,184.469514,13.1766516,16.5,1.1
PGC039542,184.632744,13.1911482,16.5,1.1
PGC039564,184.6757115,5.665466,16.5,1.1
PGC039584,184.71381,12.5977296,16.5,1.1
PGC039606,184.752291,6.0946008,16.5,1.1
PGC039620,184.7745,5.7388,16.5,1.1
PGC039632,184.7965365,12.8837916,16.5,1.1
PGC039638,184.8019395,12.8518655,16.5,1.1
PGC039639,184.807674,5.9866809,16.5,1.1
PGC039648,184.8183,15.3962002,16.5,1.1
PGC039655,184.8421725,5.9104992,16.5,1.1
PGC039669,184.868778,6.2729655,16.5,1.1
PGC039692,184.904295,15.162173,16.5,1.1
PGC039727,184.9647,5.9965,16.5,1.1
PGC039734,184.9729995,6.6658001,16.5,0.972
PGC039766,185.035791,9.4678497,16.5,1.1
PGC039799,185.088357,0.3668862,16.5,1.1
PGC039825,185.1279345,13.5192107,16.5,1.1
PGC039838,185.1515025,12.8847921,16.5,1.1
PGC039845,185.1677955,13.889251,16.5,1.1
PGC039878,185.240991,6.3394303,16.5,1.1
PGC039883,185.250747,12.7258022,16.5,1.1
PGC039893,185.2700115,11.7546496,16.5,1.1
PGC039894,185.2751715,11.5953208,16.5,1.1
PGC039905,185.303166,8.9631723,16.5,1.1
PGC039910,185.312709,13.3464007,16.5,1.1
PGC039928,185.330007,16.6092949,16.5,1.1
PGC039942,185.363316,15.0212847,16.5,1.1
PGC039967,185.414892,4.3926907,16.5,1.1
PGC039971,185.423418,15.0755739,16.5,1.1
PGC039985,185.4358005,9.2367001,16.5,1.1
PGC039994,185.45985,8.541753,16.5,1.1
PGC039996,185.458566,9.7391265,16.5,1.1
PGC040046,185.5358325,9.894463,16.5,1.1
PGC040058,185.561625,14.1421919,16.5,1.1
PGC040074,185.5902045,10.6020299,16.5,1.1
PGC040083,185.6013315,15.4710458,16.5,1.1
PGC040094,185.630511,7.1189242,16.5,1.1
PGC040096,185.6319255,11.8025676,16.5,1.1
PGC040107,185.6575005,8.2964001,16.5,1.1
PGC040136,185.70111,7.9136107,16.5,1.1
PGC040141,185.711868,13.5928602,16.5,1.1
PGC040156,185.7343575,7.7330398,16.5,1.1
PGC040177,185.7701415,8.3333715,16.5,1.1
PGC040186,185.7808185,13.7445014,16.5,1.1
PGC040210,185.8331745,7.0681125,16.5,1.1
PGC040229,185.8689675,5.8163087,16.5,1.1
PGC040235,185.8824,17.7945995,16.5,1.1
PGC040262,185.9289,18.6618996,16.5,1.1
PGC040274,185.9580075,6.0598011,16.5,1.1
PGC040279,185.9692245,13.8825017,16.5,1.1
PGC040285,185.9760345,3.0849188,16.5,1.1
PGC040298,185.990448,12.887104,16.5,1.1
PGC040300,185.990694,11.8922747,16.5,1.1
PGC040312,186.0168,17.5494995,16.5,1.1
PGC040315,186.0219525,10.0677444,16.5,1.1
PGC040335,186.0520545,11.5294231,16.5,1.1
PGC040338,186.0577005,7.1750998,16.5,1.1
PGC040339,186.060513,4.2259638,16.5,1.1
PGC040388,186.1335045,8.6375026,16.5,1.1
PGC040409,186.1647645,8.5039923,16.5,1.1
PGC040411,186.1667775,3.3030716,16.5,1.1
PGC040422,186.1981695,14.5763598,16.5,1.1
PGC040424,186.1990125,8.9914379,16.5,1.1
PGC040428,186.206508,6.759564,16.5,1.1
PGC040434,186.2150295,13.1111236,16.5,1.1
PGC040435,186.221223,9.4935034,16.5,1.1
PGC040437,186.2253315,7.5569349,16.5,1.1
PGC040444,186.233799,11.8321323,16.5,1.1
PGC040453,186.2623875,7.5037549,16.5,1.1
PGC040457,186.2645505,13.2446625,16.5,1.1
PGC040462,186.26775,15.7112866,16.5,1.1
PGC040468,186.2842995,6.8906002,16.5,1.1
PGC040469,186.2862495,4.4143111,16.5,1.1
PGC040491,186.3231165,14.1725861,16.5,1.1
PGC040505,186.3398175,13.0707022,16.5,1.1
PGC040511,186.3465375,14.8034419,16.5,1.1
PGC040512,186.3502185,18.1398793,16.5,1.1
PGC040519,186.368952,12.6365663,16.5,1.1
PGC040540,186.3951495,15.1943855,16.5,1.1
PGC040547,186.400002,15.8476304,16.5,1.1
PGC040554,186.4118025,7.7323457,16.5,1.1
PGC040556,186.4121805,12.313775,16.5,1.1
PGC040560,186.414093,10.583792,16.5,1.1
PGC040574,186.4359645,13.0221237,16.5,1.1
PGC040604,186.4687155,5.8095169,16.5,1.1
PGC040611,186.4821315,12.7697062,16.5,1.1
PGC040615,186.4837995,7.2347151,16.5,1.1
PGC040617,186.4954635,15.2771744,16.5,1.1
PGC040630,186.5035995,7.4552999,16.5,1.1
PGC040631,186.5053005,8.1934996,16.5,1.1
PGC040636,186.5234775,12.5596565,16.5,1.1
PGC040641,186.527886,12.8610417,16.5,1.1
PGC040659,186.5632665,12.9637946,16.5,1.1
PGC040670,186.57714,8.3496219,16.5,1.1
PGC040674,186.5898075,6.6696358,16.5,1.1
PGC040680,186.6038505,10.5818815,16.5,1.1
PGC040687,186.6088995,16.5230999,16.5,1.1
PGC040707,186.6383595,12.7430106,16.5,1.1
PGC040712,186.6464205,9.9833651,16.5,1.1
PGC040732,186.6833565,10.9047254,16.5,1.1
PGC040737,186.6846375,8.823786,16.5,1.1
PGC040739,186.6851205,11.3797419,16.5,1.1
PGC040759,186.727209,10.6658226,16.5,1.1
PGC040766,186.73212,9.8822766,16.5,1.1
PGC040769,186.7351395,12.9614836,16.5,1.1
PGC040779,186.746517,14.7823902,16.5,1.1
PGC040787,186.7657665,12.8666334,16.5,1.1
PGC040803,186.791313,8.3899217,16.5,1.1
PGC040810,186.799689,8.8400229,16.5,1.1
PGC040814,186.8031345,17.8208939,16.5,1.1
PGC040831,186.82344,7.6699481,16.5,1.1
PGC040834,186.8278755,8.212841,16.5,1.1
PGC040835,186.835122,16.4283084,16.5,1.1
PGC040848,186.8560665,13.7508541,16.5,1.1
PGC040867,186.8756085,9.3403957,16.5,1.1
PGC040872,186.88332,11.6151887,16.5,1.1
PGC040881,186.8949225,15.7395339,16.5,1.1
PGC040889,186.9115215,18.4345809,16.5,1.1
PGC040893,186.9065055,14.4555484,16.5,1.1
PGC040899,186.919749,15.9449621,16.5,1.1
PGC040912,186.9345765,11.2146038,16.5,1.1
PGC040917,186.9427815,11.435158,16.5,1.1
PGC040946,187.0017525,11.949797,16.5,1.1
PGC040948,187.008432,15.4445284,16.5,1.1
PGC040958,187.027203,12.8981159,16.5,1.1
PGC040969,187.0534995,10.5260076,16.5,1.1
PGC040972,187.0501155,10.3651193,16.5,1.1
PGC040974,187.04718,9.7602551,16.5,1.1
PGC040995,187.0780545,11.7002862,16.5,1.1
PGC041000,187.0864005,8.0117998,16.5,1.1
PGC041006,187.0998645,11.4205046,16.5,1.1
PGC041007,187.098558,13.1957773,16.5,1.1
PGC041016,187.113447,6.9459714,16.5,1.1
PGC041027,187.127001,7.3247643,16.5,1.1
PGC041056,187.1730765,7.804269,16.5,1.1
PGC041059,187.177644,12.54982,16.5,1.1
PGC041090,187.22895,9.4211198,16.5,1.1
PGC041091,187.2307155,8.8169781,16.5,1.1
PGC041098,187.2422205,12.6617149,16.5,1.1
PGC041102,187.2492315,12.6484146,16.5,1.1
PGC041124,187.2839805,9.4437737,16.5,1.1
PGC041130,187.31103,7.8775206,16.5,1.1
PGC041136,187.311957,12.9781821,16.5,1.1
PGC041137,187.3136895,8.8145113,16.5,1.1
PGC041149,187.3382205,16.8063644,16.5,1.1
PGC041180,187.3957875,8.0579805,16.5,1.1
PGC041185,187.404438,7.9327363,16.5,1.1
PGC041191,187.408068,7.1065551,16.5,1.1
PGC041192,187.410411,11.2990007,16.5,1.1
PGC041193,187.4192475,10.3849279,16.5,1.1
PGC041195,187.4134515,12.5482743,16.5,1.1
PGC041196,187.4129835,3.6127686,16.5,1.1
PGC041206,187.4308005,17.5154991,16.5,1.1
PGC041209,187.4336805,12.8055052,16.5,1.1
PGC041211,187.435773,15.0247725,16.5,1.1
PGC041214,187.4373,17.2873993,16.5,1.1
PGC041216,187.4383845,5.9201903,16.5,1.1
PGC041223,187.4471805,6.965291,16.5,1.1
PGC041243,187.4779005,7.1381998,16.5,1.1
PGC041264,187.5212955,8.0735589,16.5,1.1
PGC041325,187.6349025,10.2609955,16.5,1.1
PGC041345,187.6859775,13.7994569,16.5,1.1
PGC041356,187.697064,7.6053961,16.5,1.1
PGC041360,187.7023815,12.0451987,16.5,1.1
PGC041370,187.7322015,14.7739312,16.5,1.1
PGC041387,187.7510925,15.730717,16.5,1.1
PGC041391,187.7545395,7.723215,16.5,1.1
PGC041411,187.793472,13.0974088,16.5,1.1
PGC041433,187.831581,12.6115033,16.5,1.1
PGC041442,187.852809,9.4743501,16.5,1.1
PGC041454,187.882188,11.6030303,16.5,1.1
PGC041458,187.8890115,12.063921,16.5,1.1
PGC041469,187.9126815,10.8404071,16.5,1.1
PGC041495,187.9666605,12.481805,16.5,1.1
PGC041507,187.9823955,8.6022309,16.5,1.1
PGC041508,187.9848015,11.9725199,16.5,1.1
PGC041515,187.974408,14.3064748,16.5,1.1
PGC041516,188.003196,12.6202978,16.5,1.1
PGC041544,188.0399385,15.3009732,16.5,1.1
PGC041570,188.098056,11.8932941,16.5,1.1
PGC041574,188.106276,5.6554254,16.5,1.1
PGC041587,188.139582,9.1736767,16.5,1.1
PGC041592,188.149329,8.0924067,16.5,1.1
PGC041593,188.149446,9.8862585,16.5,1.1
PGC041595,188.150781,5.3880958,16.5,1.1
PGC041598,188.1506505,18.0231045,16.5,1.1
PGC041603,188.162553,10.0920721,16.5,1.1
PGC041607,188.1777375,15.909892,16.5,1.1
PGC041619,188.1945975,7.7991231,16.5,1.1
PGC041626,188.2106985,2.7974154,16.5,1.1
PGC041644,188.231847,3.360407,16.5,1.1
PGC041647,188.2417995,4.5784001,16.5,1.1
PGC041664,188.287464,10.8362221,16.5,1.1
PGC041697,188.3282115,9.1205383,16.5,1.1
PGC041716,188.372919,3.7938977,16.5,1.1
PGC041720,188.3817495,9.4592364,16.5,1.1
PGC041726,188.4071505,7.8714856,16.5,1.1
PGC041734,188.4258,7.7832999,16.5,1.1
PGC041744,188.452848,12.7800493,16.5,1.1
PGC041762,188.4836025,10.5781022,16.5,1.1
PGC041805,188.5674705,16.0582026,16.5,1.1
PGC041826,188.6266455,11.7343767,16.5,1.1
PGC041831,188.6340405,16.0326432,16.5,1.1
PGC041845,188.6600745,15.6027174,16.5,1.1
PGC041863,188.688216,16.0242967,16.5,1.1
PGC041874,188.706171,6.8362843,16.5,1.1
PGC041890,188.754,9.1860449,16.5,1.1
PGC041893,188.76051,5.4253858,16.5,1.1
PGC041906,188.7840225,13.4853352,16.5,1.1
PGC041907,188.782377,13.5644094,16.5,1.1
PGC041917,188.8112565,12.2374783,16.5,1.1
PGC041918,188.8080135,10.4314541,16.5,1.1
PGC041942,188.8785765,6.3339898,16.5,1.1
PGC041962,188.9103345,9.5894302,16.5,1.1
PGC041979,188.9396235,12.1814289,16.5,1.1
PGC041994,188.966148,13.8584814,16.5,1.1
PGC042008,189.011856,7.2002653,16.5,1.1
PGC042057,189.1254465,13.542563,16.5,1.1
PGC042059,189.127587,13.63832,16.5,1.1
PGC042062,189.134868,13.7483682,16.5,1.1
PGC042068,189.145602,8.0546897,16.5,1.1
PGC042084,189.1963725,14.7397768,16.5,1.1
PGC042087,189.2041755,4.1045211,16.5,1.1
PGC042091,189.21306,12.9588247,16.5,1.1
PGC042110,189.279327,5.4216709,16.5,1.1
PGC042136,189.3423015,12.2870326,16.5,1.1
PGC042144,189.3687,8.7945004,16.5,1.1
PGC042147,189.370575,12.3529892,16.5,1.1
PGC042155,189.3928005,8.4820004,16.5,1.1
PGC042204,189.528711,10.165414,16.5,1.1
PGC042211,189.5402535,13.5807869,16.5,1.1
PGC042219,189.5662425,14.869926,16.5,1.1
PGC042225,189.5770995,7.2171001,16.5,1.1
PGC042257,189.6525,6.5033998,16.5,1.1
PGC042265,189.6564885,9.6751339,16.5,1.1
PGC042318,189.7989,8.0726004,16.5,1.1
PGC042332,189.815475,11.2697451,16.5,1.1
PGC042350,189.862731,11.7763934,16.5,1.1
PGC042357,189.87522,12.6808024,16.5,1.1
PGC042378,189.9171375,9.3988228,16.5,1.1
PGC042381,189.9283335,13.6074813,16.5,1.1
PGC042417,190.0216005,5.7589998,16.5,1.1
PGC042436,190.0736835,6.7319053,16.5,1.1
PGC042449,190.0995915,2.6084953,16.5,1.1
PGC042454,190.1080335,4.0501835,16.5,1.1
PGC042497,190.2097305,4.5258124,16.5,1.1
PGC042537,190.292316,8.0040107,16.5,1.1
PGC042547,190.314039,11.298529,16.5,1.1
PGC042586,190.4142,12.2474128,16.5,1.1
PGC042596,190.43832,4.0065677,16.5,1.1
PGC042602,190.4539155,11.1914071,16.5,1.1
PGC042609,190.4775405,9.5846296,16.5,1.1
PGC042613,190.4877345,3.8192893,16.5,1.1
PGC042626,190.5112935,15.6365029,16.5,1.1
PGC042666,190.5774795,5.7393438,16.5,1.1
PGC042668,190.574361,3.4687371,16.5,1.1
PGC042669,190.57584,10.5676201,16.5,1.1
PGC042673,190.588602,2.0666655,16.5,1.1
PGC042679,190.610496,11.7402857,16.5,1.1
PGC042710,190.669899,13.2667398,16.5,1.1
PGC042723,190.691643,9.5107225,16.5,1.1
PGC042724,190.6889025,3.4305528,16.5,1.1
PGC042737,190.711722,12.3086335,16.5,1.1
PGC042748,190.734705,3.6765823,16.5,1.1
PGC042754,190.7418285,10.681946,16.5,1.1
PGC042757,190.7514,16.0872002,16.5,1.1
PGC042758,190.7592555,11.6979924,16.5,1.1
PGC042768,190.7810925,7.6546549,16.5,1.1
PGC042771,190.784169,14.5199664,16.5,1.1
PGC042779,190.793166,11.0369687,16.5,1.1
PGC042796,190.8364995,8.9506998,16.5,1.1
PGC042799,190.8376515,3.4202153,16.5,1.1
PGC042811,190.8710415,10.093178,16.5,1.1
PGC042812,190.8787395,11.0470953,16.5,1.1
PGC042842,190.950081,8.7606216,16.5,1.1
PGC042846,190.9627005,11.4670177,16.5,1.1
PGC042853,190.9720575,10.7455708,16.5,1.1
PGC042870,191.018472,13.2508049,16.5,1.1
PGC042878,191.039055,11.1766114,16.5,1.1
PGC042920,191.1393015,1.7369103,16.5,1.1
PGC042945,191.1918,8.9801998,16.5,1.1
PGC042978,191.2903245,10.6297949,16.5,1.1
PGC042982,191.314275,7.6156763,16.5,1.1
PGC043019,191.4175005,9.4062004,16.5,1.1
PGC043056,191.5327995,10.1623001,16.5,1.1
PGC043108,191.7058665,3.0065007,16.5,1.1
PGC043119,191.7312045,10.1824417,16.5,1.1
PGC043180,191.913819,9.1576151,16.5,1.1
PGC043211,192.0004005,10.9702997,16.5,1.1
PGC043215,191.99925,4.6948621,16.5,1.1
PGC043261,192.112764,10.5579243,16.5,1.1
PGC043309,192.2434185,10.586643,16.5,1.1
PGC043421,192.530424,2.2478817,16.5,1.1
PGC043436,192.5602785,10.5400318,16.5,1.1
PGC043457,192.630327,17.4713239,16.5,1.1
PGC043580,192.923079,13.0950071,16.5,1.1
PGC043698,193.1426505,12.2575291,16.5,1.1
PGC043739,193.2458595,14.4002109,16.5,1.1
PGC043864,193.5078345,-1.5083272,16.5,1.1
PGC043888,193.5524925,0.8025567,16.5,1.1
PGC043940,193.6733805,2.1041043,16.5,1.1
PGC044215,194.237841,4.0648152,16.5,1.1
PGC044733,195.0729405,-3.0662646,16.5,1.1
PGC045019,195.669915,1.0740524,16.5,1.1
PGC045370,196.5966,10.4337997,16.5,1.1
PGC045416,196.7333925,14.8073622,16.5,1.1
PGC046161,198.98454,17.7605327,16.5,1.1
PGC083543,187.2663,0.1037,16.5,1.1
PGC086641,190.5856815,17.5097937,16.5,1.1
PGC089681,183.736224,20.8973257,16.5,1.1
PGC091191,184.8577695,0.21257,16.5,1.1
PGC1083027,189.4437,-2.7817269,16.5,1.1
PGC1129667,189.032079,-0.9882915,16.5,1.1
PGC1132599,194.938116,-0.8712344,16.5,1.1
PGC1150193,193.141944,-0.167874,16.5,1.1
PGC1159978,189.32835,0.213312,16.5,1.1
PGC1161319,188.150475,0.262475,16.5,1.1
PGC1170050,190.678707,0.5923059,16.5,1.1
PGC1184482,190.619076,1.0976269,16.5,1.1
PGC1186061,190.903659,1.1501946,16.5,1.1
PGC1187621,189.5904705,1.2021306,16.5,1.1
PGC1191416,193.6573245,1.3258669,16.5,1.1
PGC1199069,193.4159205,1.5747593,16.5,1.1
PGC1207185,187.066503,1.8288971,16.5,1.1
PGC1207820,192.750846,1.8458996,16.5,1.1
PGC1212399,191.396937,1.988711,16.5,1.1
PGC1214263,191.5685115,2.0461658,16.5,1.1
PGC1215961,190.749024,2.1009938,16.5,1.1
PGC1218144,179.3969295,2.1678155,16.5,1.1
PGC1218832,179.3547195,2.1877891,16.5,1.1
PGC1227695,195.4722345,2.460602,16.5,1.1
PGC1227738,191.0622,2.4619999,16.5,1.1
PGC1229213,192.484998,2.5101171,16.5,1.1
PGC1233057,190.9730295,2.6332332,16.5,1.1
PGC1233241,181.8937545,2.6400687,16.5,1.1
PGC1234100,191.072409,2.667356,16.5,1.1
PGC1242969,191.033175,3.0061725,16.5,1.1
PGC1249354,191.6382075,3.2988035,16.5,1.1
PGC1255427,191.048706,3.6068004,16.5,1.1
PGC1260930,189.9573735,3.9355199,16.5,1.1
PGC1263098,193.417506,4.0756352,16.5,1.1
PGC1264260,193.430436,4.1539875,16.5,1.1
PGC1279440,186.862377,5.1879377,16.5,1.1
